year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,80154,49708,2031,0,32486,0,30446,0,61425,42981,11244,21107,0,0,18729,96315,83671,12645,-1762,-5524,1205,-6729
1993,Manufacturing,85752,57002,3736,0,26119,0,28750,0,69174,38906,9322,12243,0,0,16578,90289,78926,11362,-588,-4196,0,1519
1994,Manufacturing,104223,46043,2213,0,28129,0,58180,0,65712,47529,9340,19751,0,0,38511,84865,76698,8168,-3183,-7392,0,-7392
1995,Manufacturing,80206,23307,129,0,21082,0,56899,0,48238,34823,9428,15676,0,0,31968,81738,81812,-74,-16304,-22065,926,-32259
1996,Manufacturing,97583,36281,144,0,29483,0,61302,0,63615,58471,3270,49553,0,0,33968,75993,64836,11157,3948,3120,1104,2016
1997,Manufacturing,164279,42494,764,0,37213,0,119026,0,79726,55928,2693,47980,0,0,84553,75194,68698,6496,-535,2501,0,2501
1998,Manufacturing,205501,64985,21747,0,26905,0,120630,0,118581,96140,3632,86088,0,0,86921,99038,72286,26752,16744,1674,0,1674
1999,Manufacturing,191317,55902,2101,0,29651,0,116109,17168,113495,80563,3814,59538,26733,0,77822,90178,67373,22805,12060,-4984,0,-4951
2000,Manufacturing,197296,65410,971,21833,30570,0,113838,13943,123969,76642,24000,37589,44866,0,73327,99034,83680,15355,2084,-4718,-2046,-4480
2001,Manufacturing,205408,69006,3721,23837,28948,0,120777,10906,134690,78891,23526,29491,47134,0,70719,110352,84549,25803,12503,556,292,-1094
2002,Manufacturing,180254,51407,1095,15949,22531,0,115359,7862,112033,67516,23494,21427,39784,0,68220,91749,73909,17840,6855,-4404,-983,-2525
2003,Manufacturing,160227,39332,0,13501,20741,0,109526,4764,97685,48696,26227,0,46962,0,62541,91813,74402,17411,6060,-281,-153,-66
2004,Manufacturing,187612,48791,0,15338,25369,0,133359,2122,115953,48177,29404,0,29401,38375,71659,91067,81056,10011,-898,-612,-125,-441
2005,Manufacturing,185064,57636,0,21952,32678,0,124039,165,116050,58001,38308,0,12417,45630,69014,141490,109031,32459,16448,7961,2151,4801
2006,Manufacturing,187513,67717,1531,17816,45499,0,118683,184,109720,64196,35966,25372,5712,39813,77793,144993,115019,29974,13990,17326,3345,12742
2007,Manufacturing,182250,67416,1752,19837,43010,0,113831,126,102816,53366,32879,17771,34236,15214,79433,135030,114304,20726,7682,7759,1468,5747
2008,Manufacturing,187856,79492,2253,28627,45277,0,107390,169,109888,63912,42681,18603,36466,9511,77968,186967,151570,35396,18755,10027,2204,7006
2009,Manufacturing,184796,75936,7133,18634,46838,0,107768,243,93885,54921,37134,13096,31013,7952,90911,205798,166174,39625,17490,19465,4764,12936
2010,Manufacturing,175718,77397,6707,17093,49486,0,98021,300,85532,58471,34963,17168,22853,4209,0,197538,157528,40011,17651,17313,4856,10658
2011,Manufacturing,197771,91257,2092,21033,61698,0,105809,705,106565,74754,37639,34088,28066,3746,91207,184538,156732,27806,12563,11589,3000,8589
2012,Manufacturing,225526,84185,1437,21247,55668,0,140306,1036,127607,71287,35614,33605,29070,27250,97920,220656,193043,27613,7342,5968,818,5150
2013,Manufacturing,231637,96236,2510,24377,61376,0,133742,1659,137473,97519,54416,39561,14938,25016,94164,204421,178345,26076,3296,-5350,-2216,-3134
